Bath(s),Bedroom(s),Area_Marlas,Price_per_Marla,Is_Luxury,Type_house,Location_Tier_Low-end,Location_Tier_Mid-range,Size_Category_Medium,Size_Category_Small
6,5,20.0,3775000.0,0,True,False,False,False,False
5,5,8.0,3125000.0,0,True,True,False,True,False
6,5,10.0,4700000.0,0,True,False,True,True,False
3,3,10.0,2800000.0,0,False,False,False,True,False
5,4,8.0,5437500.0,0,True,False,False,True,False
5,4,10.0,4800000.0,0,True,False,True,True,False
4,4,5.0,3600000.0,0,True,True,False,True,False
4,4,5.0,3600000.0,0,True,True,False,True,False
4,4,5.0,3600000.0,0,True,True,False,True,False
5,5,10.0,3700000.0,0,True,True,False,True,False
2,2,5.0,1380000.0,0,True,True,False,True,False
4,3,10.0,2720000.0,0,False,False,False,True,False
5,4,10.0,3700000.0,0,True,False,False,True,False
4,4,8.0,3125000.0,0,True,True,False,True,False
3,3,2.5,2200000.0,0,True,False,True,False,True
6,5,20.0,3600000.0,0,True,False,False,False,False
5,4,10.0,4850000.0,0,True,False,False,True,False
5,4,10.0,5450000.0,0,True,False,False,True,False
5,4,10.0,3490000.0,0,True,False,False,True,False
5,3,5.0,3500000.0,0,True,True,False,True,False
5,5,20.0,3925000.0,0,True,False,False,False,False
6,6,40.0,3625000.0,1,True,False,False,False,False
5,4,10.0,4350000.0,0,True,False,False,True,False
6,5,20.0,4350000.0,0,True,False,False,False,False
6,5,20.0,3225000.0,0,True,False,False,False,False
6,4,10.0,2600000.0,0,True,True,False,True,False
6,6,20.0,3600000.0,1,True,False,False,False,False
6,6,26.0,3019230.769230769,1,True,False,False,False,False
5,4,5.0,3300000.0,0,True,False,True,True,False
5,3,5.0,3500000.0,0,True,True,False,True,False
6,5,20.0,3000000.0,0,True,False,False,False,False
4,4,5.0,3160000.0,0,True,False,True,True,False
6,5,20.0,2850000.0,0,True,False,False,False,False
3,3,3.0,3333333.3333333335,0,True,False,True,False,True
4,4,5.0,3100000.0,0,True,False,True,True,False
5,4,10.0,3500000.0,0,True,False,False,True,False
6,5,20.0,4440000.0,0,True,False,False,False,False
4,4,5.0,3600000.0,0,True,True,False,True,False
5,4,10.0,4250000.0,0,True,False,False,True,False
5,4,10.0,4250000.0,0,True,False,False,True,False
5,4,10.0,3970000.0,0,True,False,False,True,False
5,3,5.0,3000000.0,0,True,False,True,True,False
5,4,10.0,3750000.0,0,True,False,False,True,False
4,3,10.0,3400000.0,0,False,False,False,True,False
6,4,10.0,3850000.0,0,True,False,False,True,False
6,6,20.0,7450000.0,1,True,False,False,False,False
4,4,10.0,3950000.0,0,True,False,False,True,False
5,4,8.0,2500000.0,0,True,False,True,True,False
4,4,10.0,4100000.0,0,True,False,False,True,False
4,4,10.0,3900000.0,0,True,False,False,True,False
4,4,10.0,4000000.0,0,True,False,False,True,False
4,4,10.0,4650000.0,0,True,False,False,True,False
4,4,10.0,4450000.0,0,True,False,False,True,False
4,4,10.0,4500000.0,0,True,False,False,True,False
4,3,10.0,3200000.0,0,False,False,False,True,False
3,3,5.0,3240000.0,0,True,False,True,True,False
2,3,4.0,1650000.0,0,True,False,True,False,True
1,2,5.0,1000000.0,0,False,True,False,True,False
1,2,5.0,1440000.0,0,True,True,False,True,False
5,5,20.0,3850000.0,0,True,False,False,False,False
3,3,5.0,1500000.0,0,True,True,False,True,False
5,5,20.0,4550000.0,0,True,False,False,False,False
5,5,20.0,3600000.0,0,True,False,False,False,False
5,5,20.0,4125000.0,0,True,False,False,False,False
4,4,10.0,4050000.0,0,True,False,False,True,False
5,5,20.0,3625000.0,0,True,False,False,False,False
5,5,20.0,5250000.0,0,True,False,False,False,False
6,4,12.0,2541666.6666666665,0,False,False,False,False,False
5,5,20.0,3600000.0,0,True,False,False,False,False
6,4,12.0,2625000.0,0,False,False,False,False,False
7,6,20.0,4475000.0,1,True,False,False,False,False
6,5,20.0,5750000.0,0,True,False,False,False,False
4,3,10.0,3400000.0,0,False,False,False,True,False
4,3,10.0,2450000.0,0,False,False,False,True,False
2,1,5.0,6400000.0,0,False,False,False,True,False
5,5,20.0,3500000.0,0,True,False,False,False,False
6,5,20.0,3225000.0,0,True,False,False,False,False
5,4,10.0,4600000.0,0,True,False,False,True,False
5,4,5.0,3900000.0,0,True,False,False,True,False
6,6,22.0,3227272.727272727,1,True,False,False,False,False
5,4,10.0,4500000.0,0,True,False,False,True,False
4,3,5.0,3000000.0,0,True,False,True,True,False
6,5,9.0,2777777.777777778,0,True,False,True,True,False
5,4,10.0,4700000.0,0,True,False,False,True,False
5,4,10.0,4600000.0,0,True,False,False,True,False
5,5,5.0,7300000.0,0,True,False,True,True,False
6,5,10.0,5250000.0,0,True,False,False,True,False
3,3,3.0,3833333.3333333335,0,True,False,True,False,True
4,3,6.1,2704918.0327868853,0,True,False,True,True,False
6,5,40.0,6187500.0,0,True,False,False,False,False
6,7,40.0,10500000.0,1,True,False,False,False,False
6,5,20.0,3350000.0,0,True,False,False,False,False
4,3,5.0,4100000.0,0,True,False,False,True,False
4,3,5.0,4120000.0,0,True,False,False,True,False
4,3,5.0,3940000.0,0,True,False,False,True,False
4,3,5.0,3920000.0,0,True,False,False,True,False
6,5,5.0,3920000.0,0,True,False,False,True,False
4,3,5.0,3860000.0,0,True,False,False,True,False
4,3,5.0,4060000.0,0,True,False,False,True,False
4,3,5.0,3920000.0,0,True,False,False,True,False
5,4,10.0,4750000.0,0,True,False,False,True,False
6,5,10.0,4650000.0,0,True,False,True,True,False
4,3,4.0,2875000.0,0,True,False,True,False,True
6,5,20.0,3150000.0,0,True,False,False,False,False
3,3,3.0,2700000.0,0,True,False,True,False,True
4,4,5.0,2520000.0,0,True,True,False,True,False
3,3,4.0,3750000.0,0,True,False,True,False,True
4,4,5.0,3180000.0,0,True,True,False,True,False
6,4,10.0,3500000.0,0,True,False,False,True,False
4,3,5.0,4100000.0,0,True,False,False,True,False
4,3,5.0,4060000.0,0,True,False,False,True,False
4,4,7.6,3394736.8421052634,0,True,False,True,True,False
4,3,5.0,4200000.0,0,True,False,False,True,False
5,5,8.0,2925000.0,0,True,True,False,True,False
6,6,10.0,4100000.0,1,True,False,True,True,False
1,1,3.0,2800000.0,0,False,False,True,False,True
4,4,7.0,4271428.571428572,0,True,False,True,True,False
5,4,10.0,3750000.0,0,True,False,False,True,False
3,3,5.0,4300000.0,0,True,False,True,True,False
4,3,5.0,4140000.0,0,True,False,False,True,False
4,4,12.0,2708333.3333333335,0,False,False,False,False,False
4,4,5.0,3600000.0,0,True,True,False,True,False
4,3,10.0,4050000.0,0,True,False,False,True,False
3,3,5.0,4600000.0,0,True,False,True,True,False
4,3,3.5,3228571.4285714286,0,True,False,True,False,True
3,3,3.0,1800000.0,0,True,False,True,False,True
4,4,5.0,3240000.0,0,True,True,False,True,False
3,3,3.0,4733333.333333333,0,True,False,True,False,True
5,5,10.0,2900000.0,0,True,False,True,True,False
4,4,3.5,3571428.5714285714,0,True,False,True,False,True
2,1,3.0,1233333.3333333333,0,True,False,True,False,True
5,5,5.0,5600000.0,0,True,False,True,True,False
7,6,20.0,3000000.0,1,True,False,True,False,False
4,4,5.0,3800000.0,0,True,True,False,True,False
4,4,8.0,3125000.0,0,True,True,False,True,False
5,5,6.0,3833333.3333333335,0,True,True,False,True,False
5,5,10.0,3000000.0,0,True,False,True,True,False
5,5,10.0,3000000.0,0,True,False,True,True,False
3,3,2.5,4600000.0,0,True,False,True,False,True
5,6,40.0,3000000.0,0,True,False,False,False,False
3,3,3.0,4166666.6666666665,0,True,False,True,False,True
3,3,3.0,4000000.0,0,True,False,True,False,True
5,5,20.0,5250000.0,0,True,False,False,False,False
5,4,5.0,2740000.0,0,True,True,False,True,False
5,4,3.0,3866666.6666666665,0,True,True,False,False,True
5,5,20.0,5250000.0,0,True,False,False,False,False
4,3,3.0,2666666.6666666665,0,True,True,False,False,True
1,1,1.3,3923076.923076923,0,False,False,True,False,True
1,1,2.3,3695652.173913044,0,False,False,True,False,True
5,5,10.0,3250000.0,0,True,True,False,True,False
1,1,2.2,2500000.0,0,False,False,True,False,True
4,3,5.0,3980000.0,0,True,False,False,True,False
6,5,10.0,3700000.0,0,True,True,False,True,False
5,4,5.0,2700000.0,0,True,True,False,True,False
3,3,5.0,2500000.0,0,True,False,True,True,False
6,5,10.0,4750000.0,0,True,False,True,True,False
5,4,5.0,3000000.0,0,True,True,False,True,False
6,6,40.0,10500000.0,1,True,False,False,False,False
6,5,20.0,3475000.0,0,True,False,False,False,False
6,5,20.0,3960000.0,0,True,False,False,False,False
5,5,20.0,7375000.0,0,True,False,False,False,False
5,5,20.0,5750000.0,0,True,False,False,False,False
5,4,10.0,3850000.0,0,True,False,False,True,False
4,4,5.0,4240000.0,0,True,False,False,True,False
5,3,5.0,4300000.0,0,True,False,False,True,False
5,5,20.0,5375000.0,0,True,False,False,False,False
5,5,8.0,2812500.0,0,True,True,False,True,False
5,3,5.0,4240000.0,0,True,False,False,True,False
6,6,10.0,4200000.0,1,True,False,True,True,False
3,3,10.0,4250000.0,0,True,False,False,True,False
5,4,5.0,3400000.0,0,True,True,False,True,False
5,4,5.0,3400000.0,0,True,True,False,True,False
6,5,10.0,2800000.0,0,True,False,True,True,False
5,4,8.0,3437500.0,0,True,False,True,True,False
4,3,4.0,3625000.0,0,True,False,True,False,True
4,3,5.0,4900000.0,0,True,False,True,True,False
4,3,5.0,4400000.0,0,True,False,True,True,False
4,3,4.0,3625000.0,0,True,False,True,False,True
1,2,5.0,1540000.0,0,True,True,False,True,False
5,4,10.0,3550000.0,0,True,False,False,True,False
3,3,5.0,2900000.0,0,True,True,False,True,False
4,3,5.0,3800000.0,0,True,False,False,True,False
6,6,8.0,3250000.0,1,True,False,True,True,False
5,4,10.0,4890000.0,0,True,False,False,True,False
3,3,5.0,4200000.0,0,True,False,True,True,False
6,6,20.0,4125000.0,1,True,False,False,False,False
6,5,20.0,3875000.0,0,True,False,False,False,False
6,7,40.0,3750000.0,1,True,False,False,False,False
6,5,20.0,3625000.0,0,True,False,False,False,False
5,4,10.0,3900000.0,0,True,False,False,True,False
5,5,20.0,6250000.0,0,True,False,False,False,False
5,4,10.0,4000000.0,0,True,False,False,True,False
5,3,5.0,5200000.0,0,True,False,True,True,False
6,5,20.0,2975000.0,0,True,False,False,False,False
6,5,20.0,4600000.0,0,True,False,False,False,False
5,4,10.0,4450000.0,0,True,False,False,True,False
2,3,5.0,2600000.0,0,True,True,False,True,False
6,5,20.0,4250000.0,0,True,False,True,False,False
6,5,20.0,4225000.0,0,True,False,False,False,False
6,6,20.0,3850000.0,1,True,False,False,False,False
6,6,10.0,4750000.0,1,True,False,True,True,False
6,4,10.0,4000000.0,0,True,False,True,True,False
6,5,20.0,4175000.0,0,True,False,True,False,False
6,5,20.0,3975000.0,0,True,False,False,False,False
4,3,5.0,4200000.0,0,True,False,False,True,False
6,5,20.0,6750000.0,0,True,False,False,False,False
6,5,20.0,6250000.0,0,True,False,False,False,False
6,5,20.0,2900000.0,0,True,False,False,False,False
3,3,10.0,4250000.0,0,False,False,False,True,False
5,4,5.0,3600000.0,0,True,False,True,True,False
6,5,20.0,5350000.0,0,True,False,False,False,False
6,6,10.0,3180000.0,1,True,True,False,True,False
5,3,5.0,3100000.0,0,True,True,False,True,False
5,4,10.0,5300000.0,0,True,False,False,True,False
5,4,10.0,3900000.0,0,True,False,False,True,False
4,3,5.0,3200000.0,0,True,True,False,True,False
4,4,5.0,3200000.0,0,True,True,False,True,False
4,3,3.0,4833333.333333333,0,True,False,True,False,True
5,3,5.0,3300000.0,0,True,False,True,True,False
4,3,5.0,6600000.0,0,True,False,False,True,False
6,6,10.0,3700000.0,1,True,False,True,True,False
6,7,20.0,4750000.0,1,True,False,True,False,False
4,3,3.0,4066666.6666666665,0,True,False,True,False,True
5,5,20.0,3475000.0,0,True,False,False,False,False
6,6,20.0,4750000.0,1,True,False,True,False,False
4,3,3.0,4100000.0,0,True,False,True,False,True
3,3,2.6,2536538.4615384615,0,True,False,True,False,True
3,3,2.3,2521739.1304347827,0,True,False,True,False,True
