house_id,Type,Location,Area,Bath(s),Bedroom(s),Price,Area_Marlas
46326643,house,"dha defence, lahore, punjab",1 Kanal,6,5,75500000,20.0
46952582,house,"bahria orchard, lahore, punjab",8 Marla,5,5,25000000,8.0
47357581,house,"paragon city, lahore, punjab",10 Marla,6,5,47000000,10.0
47397157,flat,"askari, lahore, punjab",10 Marla,3,3,28000000,10.0
43109993,house,"dha defence, lahore, punjab",8 Marla,5,4,43500000,8.0
47357357,house,"paragon city, lahore, punjab",10 Marla,5,4,48000000,10.0
47266757,house,"bahria orchard, lahore, punjab",5 Marla,4,4,18000000,5.0
46600922,house,"bahria orchard, lahore, punjab",5 Marla,4,4,18000000,5.0
46600920,house,"bahria orchard, lahore, punjab",5 Marla,4,4,18000000,5.0
47397026,house,"bahria orchard, lahore, punjab",10 Marla,5,5,37000000,10.0
47341671,house,"khayaban-e-amin, lahore, punjab",5 Marla,2,2,6900000,5.0
47397153,flat,"askari, lahore, punjab",10 Marla,4,3,27200000,10.0
36632892,house,"dha defence, lahore, punjab",10 Marla,5,4,37000000,10.0
47266753,house,"bahria orchard, lahore, punjab",8 Marla,4,4,25000000,8.0
47179318,house,other,2.5 Marla,3,3,5500000,2.5
46982241,house,"dha defence, lahore, punjab",1 Kanal,6,5,72000000,20.0
39253174,house,"dha defence, lahore, punjab",10 Marla,5,4,48500000,10.0
39150489,house,"dha defence, lahore, punjab",10 Marla,5,4,54500000,10.0
42995171,house,"dha defence, lahore, punjab",10 Marla,5,4,34900000,10.0
47252993,house,"bahria orchard, lahore, punjab",5 Marla,5,3,17500000,5.0
45253396,house,"dha defence, lahore, punjab",1 Kanal,5,5,78500000,20.0
45340359,house,"dha defence, lahore, punjab",2 Kanal,6,6,145000000,40.0
39321958,house,"dha defence, lahore, punjab",10 Marla,5,4,43500000,10.0
43692140,house,"dha defence, lahore, punjab",1 Kanal,6,5,87000000,20.0
44267004,house,"dha defence, lahore, punjab",1 Kanal,6,5,64500000,20.0
46836160,house,"bahria orchard, lahore, punjab",10 Marla,6,4,26000000,10.0
45604924,house,"dha defence, lahore, punjab",1 Kanal,6,6,72000000,20.0
45498134,house,"dha defence, lahore, punjab",1.3 Kanal,6,6,78500000,26.0
47386620,house,"central park housing scheme, lahore, punjab",5 Marla,5,4,16500000,5.0
47361452,house,"bahria orchard, lahore, punjab",5 Marla,5,3,17500000,5.0
45525241,house,"dha defence, lahore, punjab",1 Kanal,6,5,60000000,20.0
46643174,house,"central park housing scheme, lahore, punjab",5 Marla,4,4,15800000,5.0
